id;nev;kan;fajta_id;fajta_nev;gazda_id;gazda_nev;gazda_tel;kor;chip_datum;kep_Url
1;Akina;0;37;Ariége-i kopó;56;Fazekas Zoltán;+36 1 9929-8217;5;2021.11.17;https://drive.google.com/file/d/1qs5XyJNnnT_meJn_qVJLwASvY1By2bVj
2;Akira;1;69;Bichon frisé;16;Marok Nyikolaj;+36 1 8139-4405;11;2021.10.13;https://drive.google.com/file/d/1rxOCx-iRm2I92A1KranthDq86tdM4MQi
3;Ali;1;26;Angol mosómedvekopó;61;Bur Kolos;+36 1 3652-1187;13;2022.01.19;https://drive.google.com/file/d/1sYbvNK4_SKKq2zOIDW53lm8HCXqF7woO
4;Amanda;0;56;Basset Bleu de Gascogne;213;Godz Ila;+36 1 1976-3679;10;2021.10.05;https://drive.google.com/file/d/1sVIIeO80kpKhkPS3o4bk7k64_x3qMfkJ
5;Asterix;1;28;Angol rókakopó;123;Ápry Lisa;+36 1 8413-6094;13;2022.02.01;https://drive.google.com/file/d/1rNXGW2H7LG2RFcEOfIpyTP9_lFVV1NZ2
6;Babuka;0;32;Angol-francia falkavadász kopó;312;Bacskai Mihály;+36 1 4996-5351;14;2021.10.05;https://drive.google.com/file/d/1qdU5ynDGGx6Exc9s8oE6dfCJ1LMOx6EM
7;Bamboo;1;5;Akbash;10;Rekurz Iván;+36 1 3973-7021;14;2021.11.19;https://drive.google.com/file/d/1sDgl74Aj76rzTPwLuLL3OGVwcjZy9XX-
8;Bandita;1;31;Angol véreb;24;Fer Enci;+36 1 6920-6507;14;2022.02.03;https://drive.google.com/file/d/1q_gGeRN1CifVp1wQ_QWksnn5BAKbVOSn
9;Bobi;1;35;Ardenni pásztorkutya;46;Némethy Zsófia;+36 1 3494-2935;8;2022.02.02;https://drive.google.com/file/d/1seI-0QF6m_LHj6dwm4gJ390EdfHZIPBM
10;Bono;1;44;Ausztrál juhászkutya;85;Kecskés Dániel Tamás;+36 1 1388-4882;5;2022.01.25;https://drive.google.com/file/d/1slR5WaRshT0uAx2jyvXOj-JshuFACGSi
11;Bony;1;20;Anatóliai juhászkutya;48;Nagy Ádám;+36 1 4504-5595;9;2021.10.18;https://drive.google.com/file/d/1sorJiEJkSPZE7bdr8ObTEEZqMtyg1kpe
12;Boris;1;48;Ausztrál terrier;6;Szikla Szilárd;+36 1 8618-6027;14;2021.12.05;https://drive.google.com/file/d/1rSdEEX2eBfO157pbSlA3O6Fq1Q0CfH7Q
13;Börni;1;54;Basenji;82;Leskó András;+36 1 5240-3808;1;2021.12.13;https://drive.google.com/file/d/1q_gGeRN1CifVp1wQ_QWksnn5BAKbVOSn
14;Buli;1;29;Angol springer spániel;157;Bán Tamás;+36 1 9446-6211;12;2021.11.17;https://drive.google.com/file/d/1rFdK0gc1KV12RBj2av3sh4TpIDrLdtDx
15;Carrie;0;38;Ariége-i vizsla;275;Furi Kázmér;+36 1 9919-6448;13;2021.12.06;https://drive.google.com/file/d/1sufiVE60JmFdEsRQbE3pUeAM2pCM6aX5
16;Casper;1;59;Beagle harrier;282;Bali Alexandra Mercédesz;+36 1 1575-7660;2;2021.09.29;https://drive.google.com/file/d/1rgvC9WGdtVcp-sJH-DJbp7HV_33c-X7U
17;Charlie;1;49;Auvergne-i vizsla;321;Pataki Vince;+36 1 7294-6572;3;2022.01.10;https://drive.google.com/file/d/1sBPbyW84_qCKwHoVf313Bl-LENLnr3J-
18;Chili;1;46;Ausztrál pásztorkutya;111;Kovács Adrienn;+36 1 7174-6885;8;2022.01.13;https://drive.google.com/file/d/1qv3b7t3yLkV9HF5TzbyY_-MKaft83bAB
19;Csibész;1;15;Amerikai pit bullterrier;266;Nemoda Tamás;+36 1 6726-8470;8;2021.12.23;https://drive.google.com/file/d/1sVT8P2AqtfmroUv5Y0oRGPMKeUiCO3UO
20;Cyri;0;19;Amerikai-kanadai fehér juhászkutya;175;Nyomo Réka;+36 1 7718-7901;13;2022.02.04;https://drive.google.com/file/d/1rLu0j76uj4_2wLjun2BPuOoegExBTsyL
21;Daesy;0;25;Angol masztiff;244;Ér Emma;+36 1 1414-4563;7;2021.10.27;https://drive.google.com/file/d/1rnDfcOTchNAcjLxLU3x_f7uFliFibtVG
22;Deni;0;7;Alaszkai malamut;22;Garabuczi Laura;+36 1 1672-9525;1;2021.10.13;https://drive.google.com/file/d/1qgRV5wlPh0XiUcx9H5kvKHQ2pTEspk1m
23;Disney;1;12;Amerikai cocker spániel;226;Szabó Sandra;+36 1 1698-5971;3;2022.01.12;https://drive.google.com/file/d/1sVIIeO80kpKhkPS3o4bk7k64_x3qMfkJ
24;Dobi;1;30;Angol szetter;299;Lakatos Emese;+36 1 7708-3203;13;2021.11.12;https://drive.google.com/file/d/1sCQxE2fZVvogzkiqI0Sk8ylVLNOhoza0
25;Dolly;0;66;Bergamói juhászkutya;96;Bekre Pál;+36 1 5895-6043;4;2022.02.10;https://drive.google.com/file/d/1rSdEEX2eBfO157pbSlA3O6Fq1Q0CfH7Q
26;Dorci;0;16;Amerikai rókakopó;178;Mursa Krisztián;+36 1 4450-7684;9;2022.01.31;https://drive.google.com/file/d/1sB_tjZ8W_oqxygBg2AwHFNnCCKZOr_V5
27;Dzseki;1;65;Belga vizsla;43;Radnóthy Péter Attila;+36 1 3679-6064;14;2021.12.24;https://drive.google.com/file/d/1sUkVjCwzMkqKEDrVivtbFTJ0AE6eW-7Z
28;Eminem;1;6;Akita;370;Demeter Anna;+36 1 2672-9935;1;2022.02.14;https://drive.google.com/file/d/1sDgl74Aj76rzTPwLuLL3OGVwcjZy9XX-
29;Eric;1;45;Ausztrál Kelpie;373;Bőrönd Ödön;+36 1 2709-2407;2;2021.11.26;https://drive.google.com/file/d/1rj4uO_Ewmhir-7A0IHQBOVuK9-Ef3Dyk
30;Eron;1;21;Angol agár;250;Bernát Csilla;+36 1 8180-8416;4;2022.02.17;https://drive.google.com/file/d/1rqCETMo582rAUZd2DheACBDpjuICGNkO
31;Etnis;1;23;Angol cocker spániel;300;Kana Péter;+36 1 4350-5709;11;2021.12.26;https://drive.google.com/file/d/1snpSjKUDvZUs9XI89qVb4hhMGcaY_v_z
32;Fickó;1;13;Amerikai eszkimó kutya;249;Bíró Olívia;+36 1 9189-6594;12;2022.01.26;https://drive.google.com/file/d/1qh0nIM1Gn0zrO6Wkmf7iYxcYKKKPZszZ
33;Fidó;1;36;Argentin dog;372;Budipa Piroska;+36 1 4439-9700;13;2021.10.14;https://drive.google.com/file/d/1s_YB3Iz9rrM3dWAHePHV3OlseaU_rlKX
34;Frodó;1;14;Amerikai kopasz terrier;3;Veg Eta;+36 1 8434-6191;5;2021.11.03;https://drive.google.com/file/d/1swKq40hxXuUHgoliyFACANGoHmtBvVIt
35;Gibby;1;27;Angol pointer;222;Tóth Zsuzsa;+36 1 3720-8653;6;2021.10.09;https://drive.google.com/file/d/1swKq40hxXuUHgoliyFACANGoHmtBvVIt
36;Gino;0;67;Berni kopó;60;Dalos Ákos Mihály;+36 1 9950-1575;10;2021.11.12;https://drive.google.com/file/d/1rgvC9WGdtVcp-sJH-DJbp7HV_33c-X7U
37;Gizi;0;33;Appenzelli pásztorkutya;203;Papp Beáta;+36 1 1382-1376;12;2021.12.12;https://drive.google.com/file/d/1sP08aDIxy2VOkzyLIQeOopGANtSY1ywM
38;Gyereide;1;3;Afrikai oroszlánkutya;50;Maár Tamás;+36 1 7606-9208;6;2021.12.14;https://drive.google.com/file/d/1sBPbyW84_qCKwHoVf313Bl-LENLnr3J-
39;Hannibál;1;9;Alpesi tacskókopó;143;Lizák Gerhard;+36 1 3227-3795;1;2021.11.25;https://drive.google.com/file/d/1rEbvjvUN8QwZ0hAzVvewt8gS1DdIsSWY
40;Happy;1;50;Azawakh;92;Gáti Orsolya;+36 1 3378-6077;8;2022.02.25;https://drive.google.com/file/d/1rqxx7t4OdVFJ5th8b23TWKW62NZzSc9f
41;Harcos;1;17;Amerikai staffordshire terrier;102;Szűcs Nikolett;+36 1 5433-2908;11;2021.11.20;https://drive.google.com/file/d/1sUkVjCwzMkqKEDrVivtbFTJ0AE6eW-7Z
42;Huncut;1;64;Belga masztiff;204;Ösztön Ödön;+36 1 3078-1467;2;2021.10.30;https://drive.google.com/file/d/1rbBxI6RDTO6JWAO_c1gu8r8NE1aVoHCs
43;Huncutka;0;42;Atlasz-hegységi kutya;168;Resz Elek;+36 1 1399-2527;11;2022.02.09;https://drive.google.com/file/d/1rj4uO_Ewmhir-7A0IHQBOVuK9-Ef3Dyk
44;Írisz;0;11;Amerikai bulldog;345;Aloe Vera;+36 1 5072-4171;4;2021.11.11;https://drive.google.com/file/d/1slR5WaRshT0uAx2jyvXOj-JshuFACGSi
45;Isi;0;24;Angol juhászkutya;156;Béres Tamás;+36 1 1818-4840;2;2021.10.14;https://drive.google.com/file/d/1qc74gm94OAzCf8SlGit-B157YL8sKEH0
46;Jaffa;1;53;Bali hegyikutya;221;Vágó Péter Ákos;+36 1 4643-1788;2;2021.12.16;https://drive.google.com/file/d/1qxYVWfF2lYDK070FBGvr44BXPZQmtz3d
47;Jago;1;52;Bajor hegyi véreb;173;Pár Zoltán;+36 1 3798-6794;15;2021.10.07;https://drive.google.com/file/d/1rG7cVUhJxLq6GKgP9KFKLabGH2obu5b5
48;Joky;1;8;Alopekisz;23;Fogd Bea;+36 1 4725-2442;6;2022.01.05;https://drive.google.com/file/d/1rEbvjvUN8QwZ0hAzVvewt8gS1DdIsSWY
49;Jolly;1;58;Beagle;281;Dancs Dániel;+36 1 2541-3669;11;2022.02.20;https://drive.google.com/file/d/1qujuTrxsUNZ7z0Y9fobfUhgHGCwyggo8
50;Junior;1;41;Artois-i kopó;373;Bőrönd Ödön;+36 1 2709-2407;9;2021.10.28;https://drive.google.com/file/d/1rj4uO_Ewmhir-7A0IHQBOVuK9-Ef3Dyk
